date,count,normalized
2022-04-22,36,0.4428
2022-04-21,31,0.5993
2022-04-20,30,0.5569
2022-04-19,29,0.5516
2022-04-18,24,0.7533
2022-04-16,5,0.0662
2022-04-15,13,0.5777
2022-04-14,31,0.3956
2022-04-13,33,0.4767
2022-04-12,31,0.4459
2022-04-11,36,0.4428
2022-04-10,2,0.319
2022-04-09,2,0.141
2022-04-08,26,0.5553
2022-04-07,23,0.4187
2022-04-06,27,0.4567
2022-04-05,23,0.5154
2022-04-04,30,0.5425
2022-04-03,7,0.2711
2022-04-02,6,0.5338
2022-04-01,37,0.464
2022-03-31,39,0.2785
2022-03-30,51,0.6402
2022-03-29,32,0.5265
2022-03-28,57,0.5649
2022-03-27,4,0.81
2022-03-26,7,0.677
2022-03-25,36,0.4936
2022-03-24,35,0.5233
2022-03-23,29,0.564
2022-03-22,25,0.5966
2022-03-21,24,0.0018
2022-03-20,7,-0.0263
2022-03-19,7,0.3371
2022-03-18,24,0.5443
2022-03-17,35,0.5358
2022-03-16,24,0.3345
2022-03-15,30,0.5291
2022-03-14,41,0.0165
2022-03-13,3,-0.2027
2022-03-12,9,0.7366
2022-03-11,29,0.5172
2022-03-10,39,0.3598
2022-03-09,39,0.3889
2022-03-08,67,0.3225
2022-03-07,42,0.1264
2022-03-06,1,0.631
2022-03-05,7,0.2134
2022-03-04,36,0.1693
2022-03-03,32,0.2939
2022-03-02,46,0.2642
2022-03-01,30,-0.0203
2022-02-28,29,0.492
2022-02-27,8,0.2578
2022-02-26,5,0.538
2022-02-25,16,0.546
2022-02-24,27,0.4131
2022-02-23,27,0.6838
2022-02-22,23,0.6152
2022-02-21,23,0.3668
2022-02-20,11,0.2995
2022-02-19,4,0.1753
2022-02-18,24,0.2938
2022-02-17,37,0.4354
2022-02-16,36,0.6413
2022-02-15,21,0.3226
2022-02-14,27,0.4959
2022-02-13,6,0.1813
2022-02-12,4,0.4435
2022-02-11,26,0.6691
2022-02-10,33,0.7253
2022-02-09,47,0.6367
2022-02-08,44,0.6091
2022-02-07,40,0.5574
2022-02-06,13,0.3919
2022-02-05,7,0.763
2022-02-04,43,0.5771
2022-02-03,63,0.2964
2022-02-02,40,0.5983
2022-02-01,38,0.654
2022-01-31,43,0.5894
2022-01-30,5,0.3614
2022-01-29,2,0.777
2022-01-28,83,0.4544
2022-01-27,54,0.5223
2022-01-26,36,0.4433
2022-01-25,36,0.5989
2022-01-24,50,0.4853
2022-01-23,10,0.3887
2022-01-22,9,0.6179
2022-01-21,42,0.6012
2022-01-20,39,0.4832
2022-01-19,32,0.6753
2022-01-18,39,0.6439
2022-01-17,15,0.7923
2022-01-16,3,0.406
2022-01-15,4,0.5765
2022-01-14,25,0.5938
2022-01-13,41,0.6774
2022-01-12,38,0.6397
2022-01-11,23,0.5588
2022-01-10,33,0.5074
2022-01-08,4,0.5528
2022-01-07,34,0.6518
2022-01-06,26,0.5868
2022-01-05,25,0.4315
2022-01-04,38,0.6014
2022-01-03,35,0.7419
2022-01-02,2,0.67
2022-01-01,6,0.2927
